Product_Name,Image_URL,Lowest_Price,Best_Store,Best_Store_Buy_URL,Amazon_Price,Amazon_URL,Flipkart_Price,Flipkart_URL,eBay_Price,eBay_URL,Meesho_Price,Meesho_URL,Myntra_Price,Myntra_URL
Apple iPhone 15,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQViFvvJ7_zjI7hQIrPAC3Amtk0tRFBx56NtnrL4NeTN7CGQCh9OkUPhaFKXJP1AbZDUsyCaR59Nnke5vvDVG2tYa6A6UNDc4a1wciMWox70Bq_yyt7SNpuiA,74900.0,Manual,,,,,,,,,,,
Apple iPhone 14,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSdUrTPY5zROrY8ZHvNiV7CNXZ6O1sDLCwdC9VdGYha6jMs-UA0rvSYamEXNqrqqg97rhpPIatRKr4g-A1I-osMG07EmudA-lOUnr2vMrGjCaCuqkLyyrH_0A,59900.0,Manual,,,,,,,,,,,
Apple iPhone 13,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTDW_7vpLkCgA0M7zynGNGtb4mtydcXE_ef6EQzSN2mF-iNReR3mD9gs9VK0QqiaCEAyjDXXLCQt8DogMfMhmej3nI4dBC7FiTc033mRNbmRjiIc0igt_cC,54900.0,Manual,,,,,,,,,,,
Samsung Galaxy S24,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSYQUEmI12ghjZa2DSw5X7owzPOFi9XvCLI0jMSOB1gTDsYHuznF-ZWebcEph2pqUk-L-4tWo0-onGo_2rUqNk57gVYwAXyOjZSp5a_maQ,49999.0,Flipkart,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=catalogid:11485042285301192203,productid:4277120108657410675,headlineOfferDocid:14462566650573835404,imageDocid:13455138477060313867,rds:PC_14654169995454618582|PROD_PC_14654169995454618582,gpcid:15147039398187527697,mid:576462898761110819,pvt:hg&hl=en&gl=in&udm=28",,,49999.0,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S24&prds=catalogid:11485042285301192203,productid:4277120108657410675,headlineOfferDocid:14462566650573835404,imageDocid:13455138477060313867,rds:PC_14654169995454618582|PROD_PC_14654169995454618582,gpcid:15147039398187527697,mid:576462898761110819,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Samsung Galaxy S23,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcReCYCb8tP23RvCB0_KFv5zHjhd_vhYON-zo5JGd8HOpoMPrYIw41qfjCZ4yS0nFu_rXKyQ5k8RL6D92AkGfeXULj9Fp20JVTrNA70k37MGUJ-q2WwNX8ig,44990.0,Amazon,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S23&prds=productid:9836474953646689794,headlineOfferDocid:9836474953646689794,imageDocid:6318608281981622396,rds:PC_4044835308152362590|PROD_PC_4044835308152362590,pvt:hg&hl=en&gl=in&udm=28",44990.0,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S23&prds=productid:9836474953646689794,headlineOfferDocid:9836474953646689794,imageDocid:6318608281981622396,rds:PC_4044835308152362590|PROD_PC_4044835308152362590,pvt:hg&hl=en&gl=in&udm=28",89999.0,"https://www.google.com/search?ibp=oshop&q=Samsung Galaxy S23&prds=catalogid:11810805560583350068,productid:7261596089493031791,headlineOfferDocid:1445204781425602036,imageDocid:18051533967411580311,rds:PC_7665667396756625535|PROD_PC_7665667396756625535,gpcid:6185279726844231230,mid:576462461160273199,pvt:hg&hl=en&gl=in&udm=28",,,,,,
OnePlus Nord 3,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSwuOLogTlj2rItP_61cZFMVqipFEF54diy5hrN_Dnqvq4JEegP-xzg5kDliObzR5c4NU465-7fGplBEd5egcagUvglEK2bPYXNjCC6oBUFRy38jUGQrczY3w,28999.0,Manual,"https://www.google.com/search?ibp=oshop&q=OnePlus Nord 3&prds=catalogid:7885592615325141980,productid:17138328682243256942,headlineOfferDocid:8861978705945386575,imageDocid:17626885417372062591,rds:PC_467309796281271179|PROD_PC_467309796281271179,gpcid:467309796281271179,mid:576462899905701726,pvt:hg&hl=en&gl=in&udm=28",1799.0,"https://www.google.com/search?ibp=oshop&q=OnePlus Nord 3&prds=catalogid:7885592615325141980,productid:17138328682243256942,headlineOfferDocid:8861978705945386575,imageDocid:17626885417372062591,rds:PC_467309796281271179|PROD_PC_467309796281271179,gpcid:467309796281271179,mid:576462899905701726,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
OnePlus 12R,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQeizO3GcxIYloWocI7twPyQSmZPUvTRcuAgQc8LxTXFFqlmjggeTJDXEygu2TGSBpVSJTVG1NRO2vVYVmDak5_XKcwjP20qEmBsJj0CUvvBJNZoI_AZZXl7w,34999.0,Manual,"https://www.google.com/search?ibp=oshop&q=OnePlus 12R&prds=catalogid:16171503576579340556,productid:4795770517090956754,headlineOfferDocid:10450408599233489068,imageDocid:13682544449591623039,gpcid:9888049958926909530,pvt:hg&hl=en&gl=in&udm=28",,,939.0,"https://www.google.com/search?ibp=oshop&q=OnePlus 12R&prds=catalogid:16171503576579340556,productid:4795770517090956754,headlineOfferDocid:10450408599233489068,imageDocid:13682544449591623039,gpcid:9888049958926909530,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Realme 12 Pro,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT8I4MXcbQvhvo2OU38OtZJmiB-6vT3FsQ7k_H-zHAVJG5Mb4kVNfojFcC1H22sT3-P5rGrINo,22999.0,Manual,"https://www.google.com/search?ibp=oshop&q=Realme 12 Pro&prds=productid:6968376391532651139,headlineOfferDocid:6968376391532651139,imageDocid:4881140364512603209,pvt:hg&hl=en&gl=in&udm=28",712.0,"https://www.google.com/search?ibp=oshop&q=Realme 12 Pro&prds=productid:6968376391532651139,headlineOfferDocid:6968376391532651139,imageDocid:4881140364512603209,pvt:hg&hl=en&gl=in&udm=28",728.0,"https://www.google.com/search?ibp=oshop&q=Realme 12 Pro&prds=catalogid:861225479172133716,productid:2152044748065103550,headlineOfferDocid:17058848206789266927,imageDocid:98627033079827071,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Redmi Note 13 Pro,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQQ2c2q9bkkeYTMX0arZX5bhRB95vMOTKgCPuBhfN-Tqf0B1gGUCSMCN5qIUY14iQUVhWHxOU7VwK5O012pIYr99s8rpagtY7I_W8kR0t7eTuL9qeDZR0DD,21999.0,Manual,"https://www.google.com/search?ibp=oshop&q=Redmi Note 13 Pro&prds=productid:1065976127235785055,headlineOfferDocid:1065976127235785055,imageDocid:48170449957210135,pvt:hg&hl=en&gl=in&udm=28",649.0,"https://www.google.com/search?ibp=oshop&q=Redmi Note 13 Pro&prds=productid:1065976127235785055,headlineOfferDocid:1065976127235785055,imageDocid:48170449957210135,pvt:hg&hl=en&gl=in&udm=28",861.0,"https://www.google.com/search?ibp=oshop&q=Redmi Note 13 Pro&prds=productid:8177819494151385885,headlineOfferDocid:8177819494151385885,imageDocid:16448447400902132332,pvt:hg&hl=en&gl=in&udm=28",,,,,,
Poco X6 Pro,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR60jFWiczySE_QkluxmtjU-phtiQBQeB76Lif-p1ubrUX1uCbZG1T4WThQebk1gnIvJSoj_OrzKK_rGNX6hKYnwUXy-XrL6PQ8SmLncNjdajpS5kAfhW7x,26999.0,Manual,"https://www.google.com/search?ibp=oshop&q=Poco X6 Pro&prds=productid:14104083711940087038,headlineOfferDocid:14104083711940087038,imageDocid:6908865275146283121,pvt:hg&hl=en&gl=in&udm=28",999.0,"https://www.google.com/search?ibp=oshop&q=Poco X6 Pro&prds=productid:14104083711940087038,headlineOfferDocid:14104083711940087038,imageDocid:6908865275146283121,pvt:hg&hl=en&gl=in&udm=28",,,,,,,,
