Product_Name,Image_URL,Lowest_Price,Best_Store,Best_Store_Buy_URL,Amazon_Price,Amazon_URL,Flipkart_Price,Flipkart_URL,eBay_Price,eBay_URL,Meesho_Price,Meesho_URL,Myntra_Price,Myntra_URL
Apple iPhone 15 (128 GB) - Black,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRL8wzEJGm-WkYWPvbHqtcOZQJg3Dnm9BUA_DCv2tS9zUIFgxiubkhu3oXL4GCOukSMM5q7ZoxxDntAw6VKfy9nWbB-xV2kJPtVYGAVgsw7MZO_NIL539rU,2022.3,Amazon,,2022.3,,,,,,,,,
"Samsung Galaxy S23 5G (Phantom Black, 8GB RAM, 256GB Storage)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTdGU9GE5sXEkNFJ5kNRkEuRZ-KW9qFU9vwlTqwnTW-bUWZE0s2VGQTWC9F07GA-gwHL8M5OmEzhjMVSaL9Zzwns3WoKm7IbzZrjgAc8WP-xicFQmSXT0mZ7Q,57490,Amazon,,57490.0,,,,,,,,,
boAt Airdopes 141 Bluetooth Truly Wireless Earbuds,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRnf3tKPNq0a9OsIZFNZw9NEHBso5yF4etq6qhAG5bXu0oGizjOjWCHnfWEJvxcwzpmRYoInp7JgU3ymcI8Jjf61MbrWh0p_F4DRJpP_vtFQBEKH5Vmn-nr,1163,Amazon,,1163.0,,,,,,,,,
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcShPd6g04QP4kTZoBTY_kSuqgNQ6YkNkC4kakEG8QqITnnLPhDOmJbHNsG2azgOJa0emrVH-TegLAVGlNY454IGYBd9RYdC8MK97mdtkPqKon5g6T48S8vKpw,26999,Amazon,,26999.0,,,,,,,,,
Sony WH-1000XM5 Wireless Noise Canceling Headphones,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTPVGJbS3ovw34w7ZHX5EA5dVQ8ee8l8TD3alOlTOUzjngHVy1PAFHUgeYLDiZl8q1HRLyPmgr39-9vY6AHBHcYS6CkMdLBxB25KjYNHz2lbkkqtKK6Vs3vNg,24990,Myntra,,25990.0,,,,,,,,24990.0,
"Apple iPad 10th Generation (Wi-Fi, 64GB) - Blue",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQGYt8o0IsPuS_Yi25wYq6uwPGdjkQ9I93BlbtRmN8wrVjLflJkfd3uc0kDc2FRoIuCJLShldM,N/A,N/A,N/A,,,,,,,,,,
Nike Men Revolution 6 Running Shoes,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQADqUfCFS0nYzz0KBjpXnW-iyspeXH7BSBxJ8iragKgxwjQ6ssOTDzPDQC6gIF2q4w22uAycQuwpsCkT49pIbMZCDGnnTKIZTD96mEOF_5rrPT5VTBrcHYUQ,3141,Myntra,,3695.0,,,,,,,,3141.0,
Puma Men Dazzler Sneakers,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvc57Oz5Dgf454gFRcX0OWxOw3GsQHdjQo0qfqqZc8474FWdxImcWWPMiVAh_rxwaZ4Vhq6ymdnBkSU_i_l-GNgr9UJ4oQ3aMlJdG9iwXDJPH0ZbFogky7,1289,Amazon,,1289.0,,,,,,,,5399.0,
Noise ColorFit Pulse 2 Max Smart Watch,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTBhAfHSD2w8pMIUe_iPhkj02rBsowYfzhAm9Mn3C6n2S0ZkHGf1ADtNL8OKQ_FSfPxEJJ74YfE,1099,Amazon,,1099.0,,,,,,,,1799.0,
Fire-Boltt Ninja Call Pro Plus Smart Watch,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS9noj01SpYyoS7R95HpeG0B41nkIaTZzcdQGzWwCWJh-2vlpoLB0mQtxkWwBhhkKS7d5n1SF_gjpbklfAWkaIrZPrDiEZpu6_f-hB9xopCkXAZ6VKSHApHKw,999,Amazon,,999.0,,999.0,,,,,,,
